Device type,Device ID Type,Multiple SIM Status ,S/N of Device,IMEI/ESN/MEID,Device Launch Date,Device Status,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
Dongle,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
WLAN Router,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Modem,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Smartphone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Connected Computer,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Tablet,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
e-Book,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
